"","page","sales"
"1","A",30.94
"2","A",19.11
"3","A",19.07
"4","A",7.47
"5","A",17.21
"6","A",19.28
"7","A",25.46
"8","A",16.89
"9","A",15.46
"10","A",12.03
"11","A",21.51
"12","A",28.17
"13","A",16.89
"14","A",22.34
"15","A",27.1
"16","A",20.55
"17","A",29.35
"18","A",14.85
"19","A",13.29
"20","A",22.77
"21","A",19.69
"22","A",20.48
"23","A",27.81
"24","A",24.14
"25","A",22.7
"26","A",17.03
"27","A",10.5
"28","A",20.97
"29","A",17.09
"30","A",12.27
"31","A",22.39
"32","A",21.15
"33","A",19.31
"34","A",32.05
"35","A",10.39
"36","A",28.31
"37","A",30.61
"38","A",19.06
"39","A",9.39
"40","A",21.38
"41","A",16.87
"42","A",22.73
"43","A",20.78
"44","A",16.48
"45","A",19.81
"46","A",23.53
"47","A",11.38
"48","A",21.11
"49","A",22.38
"50","A",36.93
"51","A",14.95
"52","A",10.98
"53","A",11.9
"54","A",24.56
"55","A",21.31
"56","A",22.9
"57","A",14.79
"58","A",25.8
"59","A",30.74
"60","A",16.77
"61","A",15.35
"62","A",23.93
"63","A",17.67
"64","A",18.36
"65","A",24.58
"66","A",28.45
"67","A",28.37
"68","A",24
"69","A",26.83
"70","A",15.68
"71","A",12.84
"72","A",17.79
"73","A",17.1
"74","A",10.14
"75","A",27.82
"76","A",15.95
"77","A",23.48
"78","A",14.14
"79","A",17.13
"80","A",20.82
"81","A",21.26
"82","A",20.72
"83","A",19.89
"84","A",17.15
"85","A",17.26
"86","A",23.69
"87","A",15.63
"88","A",24.76
"89","A",14.78
"90","A",14.28
"91","A",21.44
"92","A",15.61
"93","A",14.67
"94","A",24.91
"95","A",13.09
"96","A",24.75
"97","A",13.47
"98","A",21.07
"99","A",23.93
"100","A",23.64
"101","A",20.39
"102","A",15.06
"103","A",14.12
"104","A",28.41
"105","A",23.78
"106","A",21.52
"107","A",14.68
"108","A",23.7
"109","A",22.48
"110","A",14.34
"111","A",14.22
"112","A",16.44
"113","A",16.05
"114","A",23.19
"115","A",20.2
"116","A",22.11
"117","A",16.65
"118","A",17.48
"119","A",22.22
"120","A",15.42
"121","A",26.4
"122","A",26.07
"123","A",29.5
"124","A",20.43
"125","A",21.13
"126","A",25.31
"127","A",20.48
"128","A",18.51
"129","A",27.24
"130","A",19.96
"131","A",17.63
"132","A",20.27
"133","A",16.19
"134","A",14.78
"135","A",16.05
"136","A",23.16
"137","A",16.62
"138","A",17.87
"139","A",21.22
"140","A",17.51
"141","A",23.75
"142","A",20.55
"143","A",16.42
"144","A",18.08
"145","A",18.64
"146","A",30.42
"147","A",25
"148","A",18.97
"149","A",14.47
"150","A",20.11
"151","A",20.28
"152","A",20.29
"153","A",16.23
"154","A",14.46
"155","A",19.06
"156","A",20.34
"157","A",22.43
"158","A",23.09
"159","A",21.24
"160","A",22.89
"161","A",18.96
"162","A",17.43
"163","A",13.85
"164","A",16.8
"165","A",24.91
"166","A",16.08
"167","A",21.41
"168","A",28.83
"169","A",19.09
"170","A",17.13
"171","A",21.88
"172","A",21.25
"173","A",16.23
"174","A",21.18
"175","A",16.32
"176","A",24.14
"177","A",13.1
"178","A",12.55
"179","A",21.57
"180","A",15.64
"181","A",18.18
"182","A",14.76
"183","A",20.48
"184","A",17.83
"185","A",17.47
"186","A",21.75
"187","A",17.91
"188","A",30.88
"189","A",22.42
"190","A",19.21
"191","A",26.05
"192","A",23.12
"193","A",23.31
"194","A",19.4
"195","A",18.96
"196","A",17.54
"197","A",20.54
"198","A",22.51
"199","A",24.93
"200","A",21.93
"201","A",14.9
"202","A",16.93
"203","A",16.02
"204","A",28.5
"205","A",24.79
"206","A",19.39
"207","A",25.77
"208","A",21.01
"209","A",21.34
"210","A",20.83
"211","A",22.19
"212","A",22.61
"213","A",25.94
"214","A",26.84
"215","A",32.68
"216","A",30.8
"217","A",12.88
"218","A",20.23
"219","A",17.95
"220","A",18.35
"221","A",20.76
"222","A",27.29
"223","A",21.49
"224","A",16.95
"225","A",11.72
"226","A",28.16
"227","A",18.51
"228","A",20.53
"229","A",10.66
"230","A",19.99
"231","A",25.18
"232","A",24.31
"233","A",22.35
"234","A",16.09
"235","A",19.29
"236","A",24.83
"237","A",21.22
"238","A",16.53
"239","A",15.21
"240","A",18.82
"241","A",17.8
"242","A",24.48
"243","A",24.53
