run x1 x2 x3  y1  y2   y3   y4
  1 -1 -1 -1   1   1    3    7
  2  1 -1 -1  12  15   57   80
  3 -1  1 -1  16  10  323  360
  4  1  1 -1   4   6  183  193
  5 -1 -1  1 153 170  426  590
  6  1 -1  1 129 148  250  243
  7 -1  1  1 143 170  580  450
  8  1  1  1 113 217  650  735
  9 -1 -1 -1   2   4   10   27
 10  1 -1 -1  37  39  280  250
 11 -1  1 -1  21  21   33   53
 12  1  1 -1   2   5   10   87
 13 -1 -1  1  96  67  147  193
 14  1 -1  1 390 360 1470 1560
 15 -1  1  1 300 377  665  810
 16  1  1  1 280 250  675  795
